episode,entry_datetime,exit_datetime,symbol,long_exchange,short_exchange,status,position_size_usd,leverage,margin_used_usd,entry_long_price,entry_short_price,exit_long_price,exit_short_price,long_funding_rate,short_funding_rate,funding_earned_usd,long_funding_earned_usd,short_funding_earned_usd,entry_fees_usd,exit_fees_usd,total_fees_usd,realized_pnl_usd,realized_pnl_pct,unrealized_pnl_usd,unrealized_pnl_pct,hours_held
1,2025-11-05 20:00:00+00:00,2025-11-06 10:55:00+00:00,ERAUSDT,Binance,Bybit,closed,2455.48454870917,2.0,2455.48454870917,0.2746,0.2754,0.2746,0.2754,-0.00529118,1.25e-05,52.399352733780056,51.96964293775595,0.429709796024105,0.49109690974183406,0.9821938194836681,1.4732907292255022,50.92606200455455,1.036986,51.90825582403822,1.056986,14.916666666666666
1,2025-11-06 10:50:00+00:00,2025-11-06 11:05:00+00:00,SOONUSDT,Binance,Bybit,closed,2507.2501689398673,2.0,2507.2501689398673,1.4357,1.441,1.4357,1.441,-0.00574826,-0.00027871,-0.6987956945852304,0.0,-0.6987956945852304,0.5014500337879735,1.002900067575947,1.5043501013639204,-2.2031457959491507,-0.0439355,-1.2002457283732038,-0.0239355,0.25
1,2025-11-06 11:00:00+00:00,2025-11-06 14:30:00+00:00,AIAUSDT,Bybit,Binance,closed,2507.0486749655934,2.0,2507.0486749655934,2.9761,2.9003,2.952,2.8621,-0.00618065,-0.00139671,42.98395122396709,46.48557117877829,-3.501619954811194,0.5014097349931187,1.0028194699862374,1.5042292049793562,54.198494132829765,1.0809222548017259,55.201313602816,1.1009222548017257,3.5
1,2025-11-06 11:10:00+00:00,2025-11-06 14:40:00+00:00,AIAUSDT,Bybit,Binance,closed,2506.568278528391,2.0,2506.568278528391,2.952,2.8621,4.3663,4.1654,-0.00527557,-0.01434799,42.97571471175611,46.4766636920595,-3.5009489803033893,0.5013136557056782,1.0026273114113564,1.5039409671170345,100.96260050559826,2.0139607081613895,101.96522781700962,2.033960708161389,3.5
1,2025-11-06 14:35:00+00:00,2025-11-06 14:50:00+00:00,AIAUSDT,Bybit,Binance,closed,2519.691212265199,2.0,2519.691212265199,4.3663,4.1654,4.8243,4.6219,-0.00527557,-0.01434799,0.0,0.0,0.0,0.5039382424530398,1.0078764849060795,1.5118147273591194,-13.351874641093598,-0.26495061331523795,-12.343998156187519,-0.24495061331523799,0.25
1,2025-11-06 14:45:00+00:00,2025-11-06 15:00:00+00:00,AIAUSDT,Bybit,Binance,closed,2540.772732289708,2.0,2540.772732289708,4.8243,4.6219,4.6855,4.4661,-0.00527557,-0.01434799,13.404024403285616,13.404024403285616,0.0,0.5081545464579417,1.0163090929158833,1.524463639373825,24.42606743331613,0.48068186349165726,25.442376526232014,0.5006818634916573,0.25
1,2025-11-06 14:55:00+00:00,2025-11-06 15:10:00+00:00,AIAUSDT,Bybit,Binance,closed,2532.5087175699637,2.0,2532.5087175699637,4.6855,4.4661,4.9516,4.765,-0.01216527,-0.01434799,13.360427015150574,13.360427015150574,0.0,0.5065017435139928,1.0130034870279856,1.5195052305419785,-13.823951474240788,-0.2729299879272555,-12.810947987212803,-0.25292998792725546,0.25
1,2025-11-06 15:05:00+00:00,2025-11-06 15:30:00+00:00,AIAUSDT,Bybit,Binance,closed,2540.3543372866984,2.0,2540.3543372866984,4.9516,4.765,5.5231,5.3449,-0.01216527,-0.01434799,0.0,0.0,0.0,0.5080708674573398,1.0161417349146795,1.5242126023720193,-17.484385519363517,-0.34413280979609795,-16.468243784448838,-0.32413280979609793,0.4166666666666667
1,2025-11-06 15:15:00+00:00,2025-11-06 17:00:00+00:00,AIAUSDT,Bybit,Binance,closed,2535.1536402008646,2.0,2535.1536402008646,5.5231,5.3449,6.7125,6.5481,-0.01216527,-0.01434799,25.307297970987143,61.681657049052745,-36.3743590780656,0.5070307280401729,1.0140614560803458,1.5210921841205187,-0.9612381558513259,-0.018958183453038478,0.05282330022901993,0.0010418165469615215,1.75
1,2025-11-06 15:35:00+00:00,2025-11-06 17:10:00+00:00,AIAUSDT,Bybit,Binance,closed,2532.2055549768174,2.0,2532.2055549768174,6.7125,6.5481,6.7125,6.5481,-0.01216527,-0.01434799,25.27786856283383,61.60992854358566,-36.33205998075183,0.5064411109953635,1.012882221990727,1.5193233329860905,23.75854522984774,0.4691275000000001,24.771427451838466,0.48912750000000005,1.5833333333333333
1,2025-11-06 17:05:00+00:00,2025-11-06 20:15:00+00:00,XTZUSDT,Bybit,Binance,closed,2532.682398273185,2.0,2532.682398273185,0.6098,0.601,0.5935,0.587,-0.00809797,-0.0027854,54.47422469008278,61.52875824223291,-7.054533552150129,0.506536479654637,1.013072959309274,1.519609438963911,44.25341699767302,0.8736471858422825,45.2664899569823,0.8936471858422825,3.1666666666666665
1,2025-11-06 17:15:00+00:00,2025-11-06 20:25:00+00:00,XTZUSDT,Bybit,Binance,closed,2538.2700067372202,2.0,2538.2700067372202,0.5935,0.587,0.5935,0.587,-0.00809797,-0.0027854,54.59440582260757,61.66450309937342,-7.070097276765853,0.5076540013474441,1.0153080026948882,1.5229620040423324,53.071443818565236,1.0454255,54.08675182126012,1.0654255,3.1666666666666665
